Marca,%Álcool,Calorias,Carboidratos
Sam Adams Cream Stout,4.7,195,23.9
Sam Adams Light,4.1,119,9.6
Schaefer,4.6,142,12.1
Schlitz,4.7,146,12.1
Sierra Nevada Anniversary Ale,5.9,190,17.3
Sierra Nevada Bigfoot,9.6,330,32.1
Sierra Nevada Celebration Ale,6.8,214,19.4
Sierra Nevada Draft Ale,5.0,157,13.4
Sierra Nevada Early Spring Beer,5.9,190,16.7
Sierra Nevada Harvest Ale,6.7,215,19.3
Sierra Nevada India Pale Ale,6.9,231,20.0
Sierra Nevada Pale Ale,5.6,175,14.1
Sierra Nevada Pale Bock,7.0,218,19.7
Sierra Nevada Porter,5.6,194,18.4
Sierra Nevada Stout,5.8,225,22.3
Sierra Nevada Summerfest Beer,5.0,158,13.7
Sierra Nevada Wheat Beer,4.4,153,13.1
Southpaw Light,5.0,123,6.6
Steel Reserve,8.1,222,16.0
Steel Reserve Six,6.0,160,11.0
Steel Reserve Triple Export,8.1,222,16.0
Stroh's Beer,4.6,149,12.0
Stroh's Light,4.4,113,7.0
Summit Summer Ale,4.9,147,12.0
Weinhard's Amber Light,4.2,135,11.5
Weinhard's Blonde Lager,5.1,161,14.0
Weinhard's Hefweizen,4.9,151,12.2
Weinhard's Pale Ale,4.6,147,13.0
Weinhard's Private Reserve,4.8,150,9.9
Yuengling Ale,5.0,145,10.0
Yuengling Lager,4.4,135,12.0
Yuengling Light,3.8,98,6.6
Yuengling Porter,4.5,150,14.0
Yuengling Premium Beer,4.4,135,12.0
